MovieId,Box_office,Director,Country,imdbID,Poster,Metascore,Language,Writer,imdbVotes,Runtime,Response,Title,Genre,Type,Actors,Awards,imdbRating,Rated,Released,image_file,Musical,Family,Reality-TV,Western,Comedy,Mystery,Music,Fantasy,News,Adventure,Documentary,Crime,Horror,Romance,Sci-Fi,Sport,Animation,Biography,War,History,Action,Short,Thriller,Drama,2000,1990,2010,1980,NOT RATED,G,Not Rated,PASSED,UNRATED,TV-G,AO,N/A,TV-14,R,TV-MA,PG,X,PG-13,NC-17,M/PG,TV-PG
12,"4,942,107",Raja Gosnell,"USA, Australia",tt0267913,"https://m.media-amazon.com/images/M/MV5BOTQ5NDI3MTI4MF5BMl5BanBnXkFtZTgwNDQ4ODE5MDE@._V1_UX67_CR0,0,67,98_AL_.jpg",35,English,"James Gunn (screenplay), Craig Titley (story), James Gunn (story), William Hanna (characters), Joseph Barbera (characters)","69,196",86 min,TRUE,Scooby-Doo,"Adventure, Comedy, Mystery",movie,"Freddie Prinze Jr., Sarah Michelle Gellar, Matthew Lillard, Linda Cardellini",3 wins & 8 nominations.,4.9,PG,14-Jun-02,data/Movie_Poster_Dataset/2002/tt0267913.jpg,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,"6,236,068","Dean DeBlois, Chris Sanders",USA,tt0275847,"https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",73,"English, Hawaiian","Chris Sanders (idea), Chris Sanders, Dean DeBlois","111,034",85 min,TRUE,Lilo & Stitch,"Animation, Adventure, Comedy",movie,"Daveigh Chase, Chris Sanders, Tia Carrere, David Ogden Stiers",Nominated for 1 Oscar. Another 10 wins & 27 nominations.,7.2,PG,21-Jun-02,data/Movie_Poster_Dataset/2002/tt0275847.jpg,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,"4,327,240",Rob Cohen,USA,tt0295701,"https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",48,"English, German, Spanish, Russian, Czech",Rich Wilkes,"139,207",124 min,TRUE,xXx,"Action, Adventure",movie,"Vin Diesel, Asia Argento, Marton Csokas, Samuel L. Jackson",4 wins & 13 nominations.,5.8,PG-13,9-Aug-02,data/Movie_Poster_Dataset/2002/tt0295701.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,"139,225,854",Michael Lembeck,USA,tt0304669,"https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",48,English,"Don Rhymer (screenplay), Cinco Paul (screenplay), Ken Daurio (screenplay), Ed Decter (screenplay), John J. Strauss (screenplay), Leo Benvenuti (characters), Steve Rudnick (characters), Leo Benvenuti (story), Steve Rudnick (story)","33,639",104 min,TRUE,The Santa Clause 2,"Comedy, Family, Fantasy",movie,"Tim Allen, Elizabeth Mitchell, David Krumholtz, Eric Lloyd",1 win & 3 nominations.,5.5,G,1-Nov-02,data/Movie_Poster_Dataset/2002/tt0304669.jpg,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"15,916,084",Steven Spielberg,USA,tt0181689,"https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",80,"English, Swedish","Philip K. Dick (short story), Scott Frank (screenplay), Jon Cohen (screenplay)","387,712",145 min,TRUE,Minority Report,"Action, Mystery, Sci-Fi",movie,"Tom Cruise, Max von Sydow, Steve Harris, Neal McDonough",Nominated for 1 Oscar. Another 18 wins & 72 nominations.,7.7,PG-13,21-Jun-02,data/Movie_Poster_Dataset/2002/tt0181689.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,null,Gore Verbinski,"USA, Japan",tt0298130,"https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",57,English,"Ehren Kruger (screenplay), Kôji Suzuki (novel)","240,685",115 min,TRUE,The Ring,"Horror, Mystery, Sci-Fi",movie,"Naomi Watts, Martin Henderson, David Dorfman, Brian Cox",14 wins & 11 nominations.,7.1,PG-13,18-Oct-02,data/Movie_Poster_Dataset/2002/tt0298130.jpg,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,"526,003",Andy Tennant,USA,tt0256415,"https://m.media-amazon.com/images/M/MV5BNjViNWRjYWEtZTI0NC00N2E3LTk0NGQtMjY4NTM3OGNkZjY0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UX67_CR0,0,67,98_AL_.jpg",45,English,"Douglas J. Eboch (story), C. Jay Cox (screenplay)","81,627",108 min,TRUE,Sweet Home Alabama,"Comedy, Romance",movie,"Reese Witherspoon, Josh Lucas, Patrick Dempsey, Candice Bergen",3 wins & 6 nominations.,6.1,PG-13,27-Sep-02,data/Movie_Poster_Dataset/2002/tt0256415.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,"482,818",Steven Brill,USA,tt0280590,"https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg",24,English,Clarence Budington Kelland (short story \\,"107,322",96 min,TRUE,Mr. Deeds,"Comedy, Romance",movie,"Adam Sandler, Winona Ryder, John Turturro, Allen Covert",4 wins & 7 nominations.,5.8,PG-13,28-Jun-02,data/Movie_Poster_Dataset/2002/tt0280590.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,"4,874,565",Doug Liman,"USA, Germany, Czech Republic",tt0258463,"https://m.media-amazon.com/images/M/MV5BOTc2ZTlmYmItMDBhYS00YmMzLWI4ZjAtMTI5YTBjOTFiMGEwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR0,0,67,98_AL_.jpg",68,"English, French, German, Dutch, Italian","Tony Gilroy (screenplay), W. Blake Herron (screenplay), Robert Ludlum (novel)","387,915",119 min,TRUE,The Bourne Identity,"Action, Mystery, Thriller",movie,"Matt Damon, Franka Potente, Chris Cooper, Clive Owen",3 wins & 5 nominations.,7.9,PG-13,14-Jun-02,data/Movie_Poster_Dataset/2002/tt0258463.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,"621,647",Phil Alden Robinson,"USA, Germany",tt0164184,"https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",45,"English, Russian, Ukrainian, German, Arabic","Tom Clancy (novel), Paul Attanasio (screenplay), Daniel Pyne (screenplay)","84,622",124 min,TRUE,The Sum of All Fears,"Action, Drama, Thriller",movie,"Ian Mongrain, Russell Bobbitt, James Cromwell, Ken Jenkins",2 wins & 4 nominations.,6.4,PG-13,31-May-02,data/Movie_Poster_Dataset/2002/tt0164184.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,"5,240,354",Curtis Hanson,"USA, Germany",tt0298203,"https://m.media-amazon.com/images/M/MV5BOTMwYjc5ZmItYTFjZC00ZGQ3LTlkNTMtMjZiNTZlMWQzNzI5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",77,English,Scott Silver,"178,567",110 min,TRUE,8 Mile,"Drama, Music",movie,"Eminem, Kim Basinger, Mekhi Phifer, Brittany Murphy",Won 1 Oscar. Another 12 wins & 20 nominations.,7,R,8-Nov-02,data/Movie_Poster_Dataset/2002/tt0298203.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,"40,935,560",Sam Mendes,USA,tt0257044,"https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",72,English,"Max Allan Collins (graphic novel), Richard Piers Rayner (graphic novel), David Self (screenplay)","195,408",117 min,TRUE,Road to Perdition,"Crime, Drama, Thriller",movie,"Tyler Hoechlin, Rob Maxey, Liam Aiken, Jennifer Jason Leigh",Won 1 Oscar. Another 20 wins & 71 nominations.,7.7,R,12-Jul-02,data/Movie_Poster_Dataset/2002/tt0257044.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,null,David Fincher,USA,tt0258000,"https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX67_CR0,0,67,98_AL_.jpg",65,English,David Koepp,"200,387",112 min,TRUE,Panic Room,"Crime, Drama, Thriller",movie,"Jodie Foster, Kristen Stewart, Forest Whitaker, Dwight Yoakam",1 win & 9 nominations.,6.8,R,29-Mar-02,data/Movie_Poster_Dataset/2002/tt0258000.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,"1,328,858",Wayne Wang,USA,tt0252076,"https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_UX67_CR0,0,67,98_AL_.jpg",45,"English, French, Spanish","John Hughes (story), Kevin Wade (screenplay)","66,616",105 min,TRUE,Maid in Manhattan,"Comedy, Drama, Romance",movie,"Jennifer Lopez, Ralph Fiennes, Natasha Richardson, Stanley Tucci",8 nominations.,5,PG-13,13-Dec-02,data/Movie_Poster_Dataset/2002/tt0252076.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,"2,503,631",Marc Lawrence,"USA, Australia",tt0313737,"https://m.media-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",42,English,Marc Lawrence,"83,278",101 min,TRUE,Two Weeks Notice,"Comedy, Romance",movie,"Sandra Bullock, Hugh Grant, Alicia Witt, Dana Ivey",1 win & 3 nominations.,6.1,PG-13,20-Dec-02,data/Movie_Poster_Dataset/2002/tt0313737.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,"6,317,081",Brett Ratner,"Germany, USA",tt0289765,"https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",60,"English, French","Thomas Harris (novel), Ted Tally (screenplay)","199,537",124 min,TRUE,Red Dragon,"Crime, Drama, Thriller",movie,"Anthony Hopkins, Edward Norton, Ralph Fiennes, Harvey Keitel",4 wins & 10 nominations.,7.2,R,4-Oct-02,data/Movie_Poster_Dataset/2002/tt0289765.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,"90,341,670",Chuck Russell,"USA, Germany, Belgium",tt0277296,"https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",45,English,"Stephen Sommers (story), Jonathan Hales (story), Stephen Sommers (screenplay), William Osborne (screenplay), David Hayter (screenplay)","98,543",92 min,TRUE,The Scorpion King,"Action, Adventure, Fantasy",movie,"Dwayne Johnson, Steven Brand, Michael Clarke Duncan, Kelly Hu",2 wins & 3 nominations.,5.5,PG-13,19-Apr-02,data/Movie_Poster_Dataset/2002/tt0277296.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,"60,999",Guillermo del Toro,"USA, Germany",tt0187738,"https://m.media-amazon.com/images/M/MV5BNzVlY2MwMjktM2E4OS00Y2Y3LWE3ZjctYzhkZGM3YzA1ZWM2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",52,"English, Romanian, Czech","Marv Wolfman (character), Gene Colan (character), David S. Goyer","152,749",117 min,TRUE,Blade II,"Action, Horror, Sci-Fi",movie,"Wesley Snipes, Kris Kristofferson, Ron Perlman, Leonor Varela",6 wins & 9 nominations.,6.7,R,22-Mar-02,data/Movie_Poster_Dataset/2002/tt0187738.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,"643,681",Brian Levant,"Canada, USA",tt0281373,"https://m.media-amazon.com/images/M/MV5BYjBmYTQ1NjItZWU5MS00YjI0LTg2OTYtYmFkN2JkMmNiNWVkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UY98_CR2,0,67,98_AL_.jpg",29,English,"Jim Kouf (screenplay), Tommy Swerdlow (screenplay), Michael Goldberg (screenplay), Mark Gibson (screenplay), Philip Halprin (screenplay), Gary Paulsen (book)","19,703",99 min,TRUE,Snow Dogs,"Adventure, Comedy, Family",movie,"Cuba Gooding Jr., James Coburn, Sisqó, Nichelle Nichols",1 win.,5.1,PG,18-Jan-02,data/Movie_Poster_Dataset/2002/tt0281373.jpg,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,"495,567",Randall Wallace,"USA, Germany",tt0277434,"https://m.media-amazon.com/images/M/MV5BOWE4ZDdhNmMtNzE5ZC00NzExLTlhNGMtY2ZhYjYzODEzODA1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",65,"English, Vietnamese, French","Harold G. Moore (book), Joseph L. Galloway (book), Randall Wallace (screenplay)","100,064",138 min,TRUE,We Were Soldiers,"Action, Drama, History",movie,"Mel Gibson, Madeleine Stowe, Greg Kinnear, Sam Elliott",1 win & 5 nominations.,7.1,R,1-Mar-02,data/Movie_Poster_Dataset/2002/tt0277434.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
